appid,name,genres,tags,release_date,is_free,short_description,original_name,status
646270,60 parsecs!,['adventure|casual|indie|rpg|simulation|strategy'],['turn-based strategy|text-based|funny|dark humor|sci-fi|management|lgbtq+|turn-based tactics|exploration|comedy|outbreak sim|wrestling|point & click|life sim|space sim|cold war|rpg|romance|strategy|2d'],2018-09-18,False,60 parsecs is an atomic space age adventure of scavenge and survival keep your crew alive and ready for action make difficult choices face soup shortages and other horrors of outer space and maybe reach your destination or not,60 Parsecs!,released
2876550,bloons card storm,['strategy|free to play'],['strategy|card game|deckbuilding|pvp|multiplayer|card battler|free to play|pve|singleplayer|3d|colorful|tactical|family friendly|turn-based tactics'],2024-10-28,True,collectible card game set in the bloons universe featuring unique play mechanics distinct hero abilities pvp and pve modes download now and join the card storm,Bloons Card Storm,released
348550,guilty gear xx accent core plus r,['action'],['fighting|2d fighter|great soundtrack|anime|action|arcade|local multiplayer|competitive|2d|esports|multiplayer|controller|singleplayer|difficult|classic|pvp'],2015-05-26,False,ultimate battle action and the epitome of the guilty gear xx series now on steam bonus soundtracks included,GUILTY GEAR XX ACCENT CORE PLUS R,released
1031110,unroaded,['adventure|casual|indie|rpg|free to play'],['free to play|indie|adventure|visual novel|violent|casual|rpg|dark|philosophical|choices matter'],2019-03-06,True,unroaded is a short free visual novel about the living dead man who instead of inaction has chosen the road,Unroaded,released
1189850,鶴鄉戀旅,['adventure|casual|free to play|indie'],['free to play|casual|adventure|indie|story rich|visual novel'],2020-02-27,True,a new university graduate is perplexed about his future through serendipity he decides to go on a selfexploration trip to izumi where is rich in tourism resources in this trip you will meet several girls with different personalities and find romance along the way,鶴鄉戀旅,released
28000,kane & lynch 2: dog days,['action'],['action|co-op|third-person shooter|crime|violent|shooter|third person|atmospheric|mature|multiplayer|singleplayer|short|heist|nudity|story rich|local co-op|adventure|great soundtrack|open world|psychological horror'],2010-08-17,False,pure adrenaline of nonstop action in single player online coop and multiplayer double the pleasure and mayhem with new multiplayer dlcs click for details,Kane & Lynch 2: Dog Days,released
2470200,tales of spark: probation,['action|adventure|indie|rpg|free to play'],['adventure|action|rpg|action rpg|hack and slash|3d|top-down|anime|isometric|loot|drama|historical|fantasy|martial arts|romance|conversation|combat|free to play|indie|singleplayer'],2023-10-16,True,dear players become a young swordsmaster and enter quottales of spark probationquot this is a world filled with realtime combat abundant treasures a rich storyline and diverse character builds of course the challenges are also immense so best of luck to you,Tales of Spark: Probation,released
2828860,the forever winter,['action|early access'],['early access|extraction shooter|pve|looter shooter|post-apocalyptic|third-person shooter|horror|difficult|dystopian|third person|shooter|gun customization|sci-fi|mechs|choices matter|character customization|action|tactical|co-op|team-based'],2024-09-24,False,the forever winter is a tactical shooter where you and your squad must loot the dead to survive under the shadow of terrifying and gargantuan war machines locked in a neverending conflict millions of deaths later the war continues with our latest update,The Forever Winter,released
1958220,witchspring r,['adventure|indie|rpg'],['cute|funny|rpg|female protagonist|jrpg|turn-based combat|story rich|crafting|anime|exploration|magic|singleplayer|turn-based|choose your own adventure|3d|fantasy|character customization|adventure|turn-based strategy|indie'],2023-09-25,False,witchspring r is a storydriven rpg combining elements of collecting simulation and battling experience the joy of training a young witch and accompany her on a grand adventure,WitchSpring R,released
2137700,i'm on observation duty 6,['indie'],['psychological horror|puzzle|hidden object|horror|mystery|logic|singleplayer|psychological|clicker|local co-op|3d vision|atmospheric|investigation|supernatural|lovecraftian|illuminati|controller|story rich|demons|realistic'],2023-09-01,False,as an employee of a mysterious organization your job is to monitor live surveillance camera footage and spot anomalies using your sharp eyes and good memory can you survive the entire night shift or will you succumb into paranoia,I'm on Observation Duty 6,released
3593780,lumberjacked,['adventure|simulation'],['adventure|clicker|3d|cartoony|first-person|minimalist|atmospheric|multiple endings|singleplayer|casual|simulation|exploration|psychological horror|space|local multiplayer|souls-like'],2025-04-18,False,you wake up in a strange cabin deep in a mysterious forest axe in hand with only one way forwardthrough chop trees sell logs purchase and upgrade gear and uncover the secrets hidden deep in the forest,Lumberjacked,released
2276980,faceminer,['action|indie|simulation|strategy'],"[""clicker|1990's|simulation|retro|dystopian|idler|point & click|atmospheric|story rich|pixel graphics|economy|surreal|strategy|management|alternate history|singleplayer|political|artificial intelligence|capitalism|immersive sim""]",2025-02-27,False,build a biometric data harvesting empire from scratch in faceminer the hardcore thriller clicker set in 1999 classify data upgrade mining infrastructure and scale up your ai surveillance empire to obscene ends in this creepy narrativedriven incremental management sim with a dystopian twist,FACEMINER,released
1178160,blackjack championship,['free to play|indie|massively multiplayer|sports'],['free to play|massively multiplayer|indie|sports|multiplayer|gambling|strategy|card game|simulation'],2020-08-25,True,play the most authentic blackjack game with players all over the world spend some lovely and relaxing time with our topoftheline game provided with many special features for you to feel real casino atmosphere,Blackjack Championship,released
1152300,atelier ayesha: the alchemist of dusk dx,['rpg'],['rpg|jrpg|anime|female protagonist|cute|fantasy|crafting|story rich|turn-based combat|turn-based|exploration|simulation|casual|lore-rich|colorful|emotional|collectathon|great soundtrack|adventure|singleplayer'],2020-01-14,False,quotthe promise beginsquot the quotduskquot series a trilogy of rpg titles from gusts popular atelier series tells the story of a world on the verge ruin told from the perspective of its unique characters the 1st title in the series quotatelier ayeshaquot is now available as a deluxe version,Atelier Ayesha: The Alchemist of Dusk DX,released
1911610,windblown,['action|indie|early access'],['early access|action roguelike|hack and slash|action|roguelike|indie|souls-like|multiplayer|isometric|roguelite|difficult|replay value|fast-paced|co-op|roguevania|top-down|perma death|dungeon crawler|team-based|character customization'],2024-10-24,False,dash dive and defy the vortex a lightningfast 13 player coop roguelite from the crafters of dead cells where every run is a leap into chaos absorb the powers of fallen warriors rebuild their weapons and wipe the floor with anything that gets in the way of a perfect run,Windblown,released
