appid,name,genres,tags,release_date,is_free,short_description,original_name,status
3583960,establish,['casual|indie'],"[""casual|action-adventure|2d platformer|2d|1990's|turn-based combat|indie|singleplayer""]",2025-03-31,False,this game plunges players into a deep,Establish,released
3730630,sorcerer's fortitude,['casual|indie'],['arena shooter|casual|top-down shooter|indie|pve|arcade|3d|top-down|third person|singleplayer'],2025-06-11,False,sorcerers fortitude is a dynamic 3d tps game where you take on the role of a powerful wizard defending your fortress from relentless waves of enemies explore a magical world learn new spells and gather resources to unlock unique characters and enhance your abilities,Sorcerer's Fortitude,released
2084240,starshifter,['adventure|casual|indie'],['adventure|nature|casual|cute|colorful|story rich|platformer|exploration|fantasy|relaxing|indie|collectathon|3d platformer|third person|3d|open world|singleplayer'],2023-07-11,False,starshifter is a game about shapeshifting desert animals and finding your place,Starshifter,released
756560,robot warriors,['action|adventure|casual|indie|strategy'],"[""arena shooter|beat 'em up|hack and slash|top-down shooter|casual|arcade|action-adventure|strategy|3d|top-down|post-apocalyptic|action|sci-fi|score attack|robots|adventure|combat|singleplayer|early access|indie""]",2019-04-22,False,slash and shoot everyone in your way in this hack and slash game kill a lot of enemies and find a way to the exit to complete missions,Robot Warriors,released
3884200,acceptable losses,['indie|simulation|strategy'],['world war i|choices matter|simulation|historical|wargame|indie|singleplayer|strategy|nonlinear|military|war|turn-based tactics|turn-based strategy|resource management|2d|minimalist'],2099-12-31,False,acceptable losses is a phasebased wwi management game assign squads to missions face random events and manage the endless paperwork of war navigate morale fatigue and cohesion across a brutal 20day trench campaign,Acceptable Losses,upcoming
1111870,admiral stepinski,['indie|strategy'],['multiplayer|rts|2d|tactical|strategy|spaceships|space sim|top-down|space|sci-fi|pvp|simulation|co-op|online co-op|singleplayer|casual|indie'],2019-10-21,False,a multiplayer tactical realtime strategy with spaceships,Admiral Stepinski,released
3451550,robot problems,['indie'],['side scroller|indie|2d platformer|arcade|casual|robots|adventure|singleplayer'],2025-05-25,False,robot problems a platformer game where the player as a robot with jumbled controls must drag blocks press buttons open passages and overcome all sorts of traps,Robot Problems,released
1846700,witchbrook,['indie|rpg|simulation'],['multiplayer|online co-op|immersive sim|sandbox|life sim|crafting|rpg|relaxing|character customization|farming sim|cute|isometric|dating sim|2.5d|fishing|open world|pixel graphics|story rich|controller|simulation'],2026-01-01,False,discover magic and mystery in witchbrook a spellbinding witch lifesim for up to 4players start your life as the newest resident witch in the bustling seaside city of mossport make friends find love and discover a world filled with wonder and charm on the road to graduation and beyond,Witchbrook,upcoming
3988220,かくれおに,['action|indie'],['action|horror|online co-op|multiplayer|co-op|first-person|3d|pvp|indie|stealth|battle royale'],2099-12-31,False,this is an asymmetrical multiplayer horror game deep within pitchblack ruins with only the beam of a flashlight to guide you the children must play kakureoni a deadly game of hideandseek to bring an end to the ritual of reincarnation,かくれおに,upcoming
732400,platago!,['action|adventure|indie'],['action|indie|adventure|game development|pixel graphics|platformer|2d|retro|software|gamemaker|early access|level editor'],2019-06-13,False,the easiest way to make platform games and share them with other platago players its a versatile yet simple drag and drop tool that can be enjoyed whatever your level of gamemaking experience with the ability to import sprites into platago the only limit is your imagination,PlataGO!,released
841020,knockdown the ball,['casual|indie'],['casual|indie|racing|simulation|platformer|3d platformer|3d|parkour|physics|singleplayer|puzzle'],2018-04-24,False,guide the ball and complete the levels,Knockdown the Ball,released
3886730,off course,['adventure|indie|free to play'],['time manipulation|pirates|adventure|time travel|puzzle|puzzle platformer|funny|stylized|free to play|linear|3d|fantasy|singleplayer|colorful|third person|logic|indie|tactical|interactive fiction'],2026-01-01,True,stuck in a time loop stop the possessed captains plans in this cooperatewithyourself puzzle game record each pirates actions to solve puzzles interact with adorable animal companions and get to know the brave pirate crew and the bond they share with each other,Off Course,upcoming
732030,pimiko plus,['indie|simulation|strategy'],['indie|simulation|strategy'],2017-12-14,False,its time for ruho to show em how a plumpy mama gets rich trade goods ranging from computers to automatic weapons as you visit the towns dotting a countryside in the sunset world of tumydorado,Pimiko Plus,released
3428180,メアリウム,['adventure'],['adventure|horror|2d|singleplayer|exploration|action-adventure|stealth'],2025-01-20,False,少年が迷い込んだのは悪夢の水族館メアリウム果たして彼は襲い来る異変を乗り越え無事家に帰る事ができるのでしょうかkotake create様の8番のりばを参考にドット絵で構成された2dホラーゲームです,メアリウム,released
1627370,gravity blasters playtest,['arena shooter|real time tactics|action|wargame|third-person shooter|pvp|moba|competitive|battle royale|2d fighter|action-adventure|2d|comic book|2.5d|funny|post-apocalyptic|pve|bullet time|vehicular combat|colorful'],['arena shooter|real time tactics|action|wargame|third-person shooter|pvp|moba|competitive|battle royale|2d fighter|action-adventure|2d|comic book|2.5d|funny|post-apocalyptic|pve|bullet time|vehicular combat|colorful'],2025-08-05,False,,Gravity Blasters Playtest,released
2960480,itsy,['action|casual|indie'],"[""action|casual|platformer|2d platformer|clicker|runner|side scroller|2d|cartoony|colorful|hand-drawn|pixel graphics|stylized|1990's|dark comedy|dark humor|funny|nature|narration|nonlinear""]",2024-07-12,False,itsy is a heart tug the length of a bus ride a narrative climb inspired by healing from autismburnout play for story progress saves or endlessly amp conquer the leaderboard you ever felt endlessly stuck so has the itsy bitsy spider together can you both help him out of it,Itsy,released
4018580,serenity word - relaxing puzzle,['casual'],['casual|puzzle|spelling|2d|education|family friendly|nature|relaxing'],2025-10-09,False,develop word mastery and enhance vocabulary through an engaging and fun crossword puzzle game to relax your mind,Serenity Word - Relaxing Puzzle,released
3044520,coffee express,['casual|indie|simulation'],['indie|casual|simulation|early access|relaxing|job simulator|cozy|education|story rich|first-person|cooking|singleplayer|stylized|cute|family friendly|resource management|immersive sim|management'],2025-03-13,False,open your own coffee shop and become a barista in the cozy and colorful world of coffee express a unique experience awaits you with stock tracking realistic coffee making experience and shop customizations make your customers happy by making excellent coffee in your own coffee paradise,Coffee Express,released
3098020,a few days with samantha,['casual|indie'],['casual|indie'],2024-08-23,False,embark on a sensual butterflyhunting adventure with samantha a charming young woman in this hidden object game explore each location to discover what lies beneath samanthas enticing layers,A Few Days With Samantha,released
3230230,just desserts,['casual|indie|strategy'],['casual|roguelike|tower defense|strategy|singleplayer|stylized|real time tactics|3d|cartoon|cartoony|colorful|top-down|funny|choices matter|linear|tutorial|indie'],2024-10-31,False,select your commander and play a series of tower defense levels as you progress through a randomly generated map find shops to unlock upgrades for your towers and commander and fight mini bosses for bonus rewards to prepare for count cakeula,Just Desserts,released
3956790,ultimate sugar crush!,['action|casual'],['action|casual'],2025-10-02,False,in ultimate sugar crush each dessert girl is the personification of a carefully crafted sweet as you break the blocks their charming appearances will gradually be revealed accompanying you on a delightful and refreshing journey,Ultimate Sugar Crush!,released
1704760,smalles,['casual|rpg'],['casual|rpg|point & click|auto battler|clicker|collectathon|2d|fantasy|pve|singleplayer|idler'],2021-08-07,False,smalles is a game where you will send your champion into the dungeon to collect gold and also raise in strenghtyou will acquire precious talent points that can be used to upgrade your character,Smalles,released
3603380,death kitchen,['action|casual|simulation|strategy'],['online co-op|horror|cooking|strategy|comedy|first-person|space|futuristic|time management|simulation|rts|3d|action|co-op|choices matter|multiplayer|casual|singleplayer|character customization|funny'],2026-01-01,False,death kitchen is an immersive fastpaced coop cooking horror game you must coordinate with your friends to serve alien customers who can kill you in many situations you can morph into a variety of characters embrace the chaos and deliver quality with your new intergalactic restaurant chain,Death Kitchen,upcoming
4018510,hexiom,['casual|indie'],['casual|puzzle|hex grid|singleplayer|logic|2d|indie|futuristic'],2025-10-01,False,hexiom is a classic puzzle game with simple rules but many possibilities rearrange the board so that the number on each tile matches how many other tiles it is adjacent to,Hexiom,released
1579720,sol dorado heist,['casual|indie|simulation'],['simulation|heist|casual|visual novel|anime|female protagonist|singleplayer|2d|funny|indie|mystery|dating sim'],2021-04-23,False,choose your path and solve the mystery of the sol dorado heist,Sol Dorado Heist,released
3333840,the dream,['action|indie|free to play'],['boomer shooter|fps|third-person shooter|pve|pvp|shooter|arcade|female protagonist|3d|first-person|third person|post-apocalyptic|open world|action|sci-fi|artificial intelligence|survival|aliens|conspiracy|multiplayer'],2025-03-17,True,a dystopian openworld shooter set in a simulated barcelona of 2033 survive explore and uncover the secrets of the metropolis while earning data tokens engage in intense battles or form alliances to survive,The Dream,released
2231560,araka~jk exorcist horror rpg,['adventure|indie|rpg'],['adventure|rpg|horror|jrpg|female protagonist|visual novel|exploration|pixel graphics|nudity|comic book|drama|fantasy|psychological horror|indie|detective|story rich|multiple endings|singleplayer|rpgmaker|sexual content'],2023-05-26,False,manipulate the main character with power of telepathic looking for the trace of araka an exorcist imprisoned in the other world,Araka~JK Exorcist Horror RPG,released
420660,burnin' rubber 5 hd,['action|indie|racing'],['racing|action|indie|singleplayer|shooter|combat racing|vehicular combat'],2018-02-14,False,burnin rubber 5 hd is a remastered update of one of the most played action games on the web unlock over 30 challenges 50 cars and multiple explosive weapons master 3 different challenge modes and hone your skills to take on the biggest end boss ever,Burnin' Rubber 5 HD,released
377530,侠客风云传(tale of wuxia),['adventure|casual|rpg|simulation|strategy'],['rpg|martial arts|strategy|turn-based|multiple endings|adventure|singleplayer|dating sim|simulation|story rich|casual|crpg|open world'],2016-04-28,False,tale of wuxia has been dedicated to providing gameplayers with a playerdefined platform where they can customize their own wuxia instead of being restricted to characters basic properties in this new version gameplayers can also choose the personalities and talents of their own,侠客风云传(Tale of Wuxia),released
1551720,disaster drive,['action|indie|racing'],['racing|action|driving|arcade|3d|procedural generation|score attack|indie|retro|singleplayer'],2099-12-31,False,disaster drive is a retroinspired arcade racing game where you only have 10 seconds to reach the next checkpoint or its game over skillfully drift around twisty corners using nitro boost while avoiding disaster to multiply your score to the top,Disaster Drive,upcoming
1837590,hammerground: splat!,['action|casual|indie'],"[""vr|arcade|beat 'em up|casual|tabletop|action|score attack|time attack|funny|indie|pve|combat|hack and slash|3d|6dof|singleplayer|cartoon|bullet hell|first-person|quick-time events""]",2022-10-06,False,whackamole without a mole a virtual reality arcade,Hammerground: Splat!,released
1430350,zakumba astraia: prologue,['action|adventure|indie|rpg|free to play'],['rpg|crpg|action|dungeon crawler|adventure|action rpg|action-adventure|2d|story rich|pixel graphics|free to play|indie|combat|singleplayer'],2099-12-31,True,join astraia on an epic actionadventure rpg journey through the diverse and mysterious pygunjú region explore stunning biomes battle fierce and unique creatures and craft powerful tools to aid your villages revolution just dont be late for dinner with your dad,Zakumba Astraia: Prologue,upcoming
1844400,rasetsu fumaden,['adventure|rpg'],['rpg|jrpg|action rpg|action roguelike|action|3d|anime|2d|swordplay|cute|martial arts|story rich|souls-like|singleplayer|roguelike|hack and slash|combat|drama|historical|female protagonist'],2022-08-12,False,in the edo period in a world where demons humans and gods exist together rasetsu raki a princess of the demon tribe who possesses great sealing powers helps people and defeats the enemies by skillfully using various sword techniques and barrier techniques,Rasetsu Fumaden,released
1584530,elevated,['action|indie'],"[""action|arena shooter|arcade|score attack|bullet hell|shoot 'em up|voxel|shooter|pve|robots|3d|top-down|controller|loot|combat|sci-fi|singleplayer|indie""]",2021-07-11,False,jump into elevated an action arcade shooter where you must battle to survive against constant ever growing waves of robotic enemies unlock new weapons face harder opponents and smash your friends high scores on the online leaderboards,Elevated,released
3316450,olympia: festival of the gods,['casual|strategy|free to play'],['strategy|board game|tabletop|casual|3d|top-down|historical|choices matter|linear|colorful|free to play|mythology|score attack|4 player local|local co-op|singleplayer'],2024-11-29,True,olympia festival of the gods is a digital board game where players collect tokens in order to perform rituals to honor the gods of ancient greece,Olympia: Festival of the Gods,released
1258370,dragonscales 6: love and redemption,['casual'],['casual|puzzle|match 3|dragons|sequel|female protagonist'],2020-03-16,False,a casual game with tile matching puzzles and battles solve the new dragonscales challenges and shatter the plans of the dark empress,DragonScales 6: Love and Redemption,released
3797830,egglings,['adventure|casual'],['casual|short|relaxing|creature collector|linear|pixel graphics|collectathon|cute|adventure|nature|atmospheric|arcade|2d|colorful|top-down|family friendly|gambling|deckbuilding|trading|walking simulator'],2025-10-01,False,hatch all kind of eggs collecting so called egglings sell release or shelter them to unlock and progress in the game,Egglings,released
4084630,現風少女 フタリ一夜に騒がして,['action|indie'],['action|shooter|action rpg|bullet hell|2d|3d|cute|fantasy|indie|controller|female protagonist|singleplayer'],2026-03-03,False,carve your own path through swirling bullet barrages face stages that seamlessly shift between 2d and 3d using melee attacks to gain the upper hand a bullethell shooter with a literally diagonal twist what is the true nature of the stolen clock hand,現風少女 フタリ一夜に騒がして,upcoming
354160,wrc 5,['racing'],['racing|automobile sim|multiplayer|simulation|offroad|arcade|driving|realistic|singleplayer'],2015-10-08,False,find all the cars all the drivers and all the official rallies of the 2015 fia world rally championship in the racing simulation standard realistic driving on different road surfaces dynamic damage daynight system weather experience all the sensations of rally racing in wrc 5,WRC 5,released
598060,slasher's keep,['action|indie|rpg'],['action roguelike|first-person|dungeon crawler|rpg|action|indie|roguelite|roguelike|gore|hack and slash|violent|procedural generation|loot|singleplayer|fantasy|fps|stylized'],2020-11-19,False,hack slash shoot and loot your way through procedurally generated dungeons smack your enemies into spikes with your inventory sack,Slasher's Keep,released
1961460,project playtime,['action|indie|free to play|early access'],['multiplayer|horror|survival horror|online co-op|puzzle|team-based|romance|3d|first-person|character customization|free to play|cute|dark|psychological horror|action|lore-rich|atmospheric|early access|exploration|third person'],2022-12-12,True,project playtime is a freetoplay multiplayer horror game where six players attempt to create one giant toy while surviving a terrifying monster that roams the toy factory a seventh player controls the monster and is given only one goal find and kill everyone,Project Playtime,released
1618240,the alien way,['action|adventure|casual|indie|racing|simulation'],['precision platformer|runner|space sim|arcade|action-adventure|character customization|casual|perma death|2d|relaxing|linear|pixel graphics|stylized|singleplayer|family friendly|aliens|score attack|comedy|atmospheric|resource management'],2021-05-10,False,the alien way is a highspeed platformer made in 2d pixel artjump from platform to platform bypassing saws and the space abyss open all skins with unique characteristics and pump them in a special shop in the main menu,The Alien Way,released
763070,overcoming pain,['violent|gore|action|adventure|indie'],['indie|action|adventure|gore|violent|zombies'],2017-12-26,False,do you like weapons and ammunition do you like action do you like adrenaline in the blood and crowds of enemies,Overcoming Pain,released
3943460,fallen,['action|indie'],['co-op|medieval|stealth|horror|exploration|dungeon crawler|pve|action|action-adventure|3d|first-person|detective|nonlinear|team-based|realistic|dark fantasy|fantasy|magic|loot|investigation'],2099-12-31,False,an online dungeon crawling investigation for up to four players where you bring back heroes who didnt make it home can you find out what happened line your pockets and survive what they couldnt,Fallen,upcoming
1546270,vulto,['strategy|early access'],['cyberpunk|strategy|stealth|turn-based strategy|3d|dystopian|turn-based tactics|isometric|early access|violent|3d vision|singleplayer'],2099-12-31,False,experience a cyberpunk adventure full of strategy espionage and stealth in the eyes of engel a survivor from the collapsed city of hevland who starts on a journey to become a special agent called vulto,Vulto,upcoming
3306330,my little puppy playtest,['adventure|dog|emotional|story rich|colorful|cute|atmospheric|singleplayer|exploration|3d|stylized|nature|funny|relaxing|action-adventure|family friendly|linear|fantasy|3d platformer|cats'],['adventure|dog|emotional|story rich|colorful|cute|atmospheric|singleplayer|exploration|3d|stylized|nature|funny|relaxing|action-adventure|family friendly|linear|fantasy|3d platformer|cats'],2024-11-23,False,,My Little Puppy Playtest,released
1065890,logistical 2: france,['casual|indie|strategy'],['casual|strategy|indie|puzzle|transportation|education|resource management'],2019-04-29,False,figure out and schedule cargo deliveries across the country of france to solve the logistical problems includes cities like paris marseille lyon toulouse and many many more over 3000 towns and many logistical puzzles to solve,LOGistICAL 2: France,released
2336520,hope,['adventure|indie'],['2.5d|dystopian|puzzle platformer|story rich|dark|indie|adventure|puzzle|side scroller|dark fantasy|noir|psychedelic|political|mystery|cartoony|singleplayer'],2024-02-15,False,help the protagonist escape from the inner world and make a choice,Hope,released
4022810,tailor simulator playtest,['immersive sim|design & illustration|sandbox|economy|management|trading|life sim|3d|relaxing|casual|simulation|family friendly|early access|inventory management|singleplayer|indie|education|capitalism|first-person|crafting'],['immersive sim|design & illustration|sandbox|economy|management|trading|life sim|3d|relaxing|casual|simulation|family friendly|early access|inventory management|singleplayer|indie|education|capitalism|first-person|crafting'],2025-09-23,False,,Tailor Simulator Playtest,released
2234670,not us,['indie|strategy'],['deckbuilding|card game|card battler|solitaire|dungeon crawler|strategy|trading card game|roguelite|puzzle|turn-based strategy|2d|post-apocalyptic|casual|colorful|hand-drawn|abstract|fantasy|magic|management|singleplayer'],2025-12-31,False,a solitaire style card game where you forage for plants manage your inventory and try to stay alive,Not Us,upcoming
3351420,miku: may i keep up?,['action|adventure|indie'],['psychological horror|difficult|indie|precision platformer|philosophical|parkour|time management|action-adventure|funny|romance|narration|story rich|time manipulation|singleplayer|action|third person|replay value|anime|physics|emotional'],2099-12-31,False,a game i made in memory of a certain person not out of love but out of spite an amalgamation of unresolved feelings turned into an abomination a game that hates you a game that will hurt you,MIKU: May I Keep Up?,upcoming
