appid,name,genres,tags,release_date,is_free,short_description
3583960,Establish,Casual|Indie,Casual|Action-Adventure|2D Platformer|2D|1990's|Turn-Based Combat|Indie|Singleplayer,"Mar 31, 2025",False,This game plunges players into a deep
3730630,Sorcerer's Fortitude,Casual|Indie,Arena Shooter|Casual|Top-Down Shooter|Indie|PvE|Arcade|3D|Top-Down|Third Person|Singleplayer,"Jun 11, 2025",False,"Sorcerer's Fortitude is a dynamic 3D TPS game where you take on the role of a powerful wizard defending your fortress from relentless waves of enemies. Explore a magical world, learn new spells, and gather resources to unlock unique characters and enhance your abilities."
2084240,Starshifter,Adventure|Casual|Indie,Adventure|Nature|Casual|Cute|Colorful|Story Rich|Platformer|Exploration|Fantasy|Relaxing|Indie|Collectathon|3D Platformer|Third Person|3D|Open World|Singleplayer,"Jul 11, 2023",False,"Starshifter is a game about shapeshifting, desert animals, and finding your place."
756560,Robot Warriors,Action|Adventure|Casual|Indie|Strategy,Arena Shooter|Beat 'em up|Hack and Slash|Top-Down Shooter|Casual|Arcade|Action-Adventure|Strategy|3D|Top-Down|Post-apocalyptic|Action|Sci-fi|Score Attack|Robots|Adventure|Combat|Singleplayer|Early Access|Indie,"Apr 22, 2019",False,Slash and shoot everyone in your way in this hack and slash game. Kill a lot of enemies and find a way to the exit to complete missions.
3884200,Acceptable Losses,Indie|Simulation|Strategy,World War I|Choices Matter|Simulation|Historical|Wargame|Indie|Singleplayer|Strategy|Nonlinear|Military|War|Turn-Based Tactics|Turn-Based Strategy|Resource Management|2D|Minimalist,Coming soon,False,"Acceptable Losses is a phase-based WWI management game. Assign squads to missions, face random events, and manage the endless paperwork of war. Navigate morale, fatigue, and cohesion across a brutal 20-day trench campaign."
1111870,Admiral Stepinski,Indie|Strategy,Multiplayer|RTS|2D|Tactical|Strategy|Spaceships|Space Sim|Top-Down|Space|Sci-fi|PvP|Simulation|Co-op|Online Co-Op|Singleplayer|Casual|Indie,"Oct 21, 2019",False,"A multiplayer, tactical, real-time strategy with spaceships"
3451550,Robot Problems,Indie,Side Scroller|Indie|2D Platformer|Arcade|Casual|Robots|Adventure|Singleplayer,"May 25, 2025",False,"Robot Problems - A platformer game where the player as a robot with jumbled controls, must drag blocks, press buttons, open passages and overcome all sorts of traps."
1846700,Witchbrook,Indie|RPG|Simulation,Multiplayer|Online Co-Op|Immersive Sim|Sandbox|Life Sim|Crafting|RPG|Relaxing|Character Customization|Farming Sim|Cute|Isometric|Dating Sim|2.5D|Fishing|Open World|Pixel Graphics|Story Rich|Controller|Simulation,2026,False,"Discover magic and mystery in Witchbrook, a spellbinding witch life-sim for up to 4-players! Start your life as the newest resident witch in the bustling seaside city of Mossport. Make friends, find love, and discover a world filled with wonder and charm on the road to graduation and beyond..."
3988220,かくれおに,Action|Indie,Action|Horror|Online Co-Op|Multiplayer|Co-op|First-Person|3D|PvP|Indie|Stealth|Battle Royale,Coming soon,False,"This is an asymmetrical multiplayer horror game. Deep within pitch-black ruins, with only the beam of a flashlight to guide you, the children must play KAKUREONI -a deadly game of hide-and-seek- to bring an end to the ritual of reincarnation."
732400,PlataGO!,Action|Adventure|Indie,Action|Indie|Adventure|Game Development|Pixel Graphics|Platformer|2D|Retro|Software|GameMaker|Early Access|Level Editor,"Jun 13, 2019",False,"The easiest way to make platform games and share them with other PlataGO! players. It’s a versatile yet simple drag and drop tool, that can be enjoyed whatever your level of game-making experience. With the ability to import sprites into PlataGO!, the only limit is your imagination!"
841020,Knockdown the Ball,Casual|Indie,Casual|Indie|Racing|Simulation|Platformer|3D Platformer|3D|Parkour|Physics|Singleplayer|Puzzle,"Apr 24, 2018",False,Guide the ball and complete the levels
3886730,Off Course,Adventure|Indie|Free To Play,Time Manipulation|Pirates|Adventure|Time Travel|Puzzle|Puzzle Platformer|Funny|Stylized|Free to Play|Linear|3D|Fantasy|Singleplayer|Colorful|Third Person|Logic|Indie|Tactical|Interactive Fiction,2026,True,"Stuck in a time loop, stop the possessed captain's plans in this cooperate-with-yourself puzzle game. Record each pirate’s actions to solve puzzles, interact with adorable animal companions and get to know the brave pirate crew and the bond they share with each other!"
732030,Pimiko Plus,Indie|Simulation|Strategy,Indie|Simulation|Strategy,"Dec 14, 2017",False,It's time for Ruho to show 'em how a plumpy mama gets rich! Trade goods ranging from computers to automatic weapons as you visit the towns dotting a countryside in the sunset world of Tumydorado.
3428180,メアリウム,Adventure,Adventure|Horror|2D|Singleplayer|Exploration|Action-Adventure|Stealth,"Jan 20, 2025",False,少年が迷い込んだのは悪夢の水族館『メアリウム』。果たして彼は襲い来る異変を乗り越え、無事家に帰る事ができるのでしょうか？KOTAKE CREATE様の『8番のりば』を参考に、ドット絵で構成された2Dホラーゲームです。
1627370,Gravity Blasters Playtest,,Arena Shooter|Real Time Tactics|Action|Wargame|Third-Person Shooter|PvP|MOBA|Competitive|Battle Royale|2D Fighter|Action-Adventure|2D|Comic Book|2.5D|Funny|Post-apocalyptic|PvE|Bullet Time|Vehicular Combat|Colorful,"Aug 5, 2025",False,
2960480,Itsy,Action|Casual|Indie,Action|Casual|Platformer|2D Platformer|Clicker|Runner|Side Scroller|2D|Cartoony|Colorful|Hand-drawn|Pixel Graphics|Stylized|1990's|Dark Comedy|Dark Humor|Funny|Nature|Narration|Nonlinear,"Jul 12, 2024",False,"Itsy is a heart tug the length of a bus ride. A narrative climb Inspired by healing from Autism-burnout. Play for story (progress saves), or endlessly &amp; conquer the leaderboard. You ever felt endlessly stuck? So has the Itsy Bitsy Spider. Together, can you both help him out of it?"
4018580,Serenity Word - Relaxing Puzzle,Casual,Casual|Puzzle|Spelling|2D|Education|Family Friendly|Nature|Relaxing,"Oct 9, 2025",False,Develop word mastery and enhance vocabulary through an engaging and fun crossword puzzle game to relax your mind!
3044520,Coffee Express,Casual|Indie|Simulation,Indie|Casual|Simulation|Early Access|Relaxing|Job Simulator|Cozy|Education|Story Rich|First-Person|Cooking|Singleplayer|Stylized|Cute|Family Friendly|Resource Management|Immersive Sim|Management,"Mar 13, 2025",False,"Open your own coffee shop and become a barista in the cozy and colorful world of Coffee Express! A unique experience awaits you with stock tracking, realistic coffee making experience and shop customizations. Make your customers happy by making excellent coffee in your own coffee paradise!"
3098020,A Few Days With Samantha,Casual|Indie,,"Aug 23, 2024",False,"Embark on a sensual butterfly-hunting adventure with Samantha, a charming young woman. In this hidden object game, explore each location to discover what lies beneath Samantha's enticing layers."
3230230,Just Desserts,Casual|Indie|Strategy,Casual|Roguelike|Tower Defense|Strategy|Singleplayer|Stylized|Real Time Tactics|3D|Cartoon|Cartoony|Colorful|Top-Down|Funny|Choices Matter|Linear|Tutorial|Indie,"Oct 31, 2024",False,"Select your commander and play a series of tower defense levels as you progress through a randomly generated map. Find shops to unlock upgrades for your towers and commander, and fight mini bosses for bonus rewards to prepare for Count Cakeula."
3956790,Ultimate Sugar Crush!,Action|Casual,,"Oct 2, 2025",False,"In Ultimate Sugar Crush!, each dessert girl is the personification of a carefully crafted sweet. As you break the blocks, their charming appearances will gradually be revealed, accompanying you on a delightful and refreshing journey."
1704760,Smalles,Casual|RPG,Casual|RPG|Point & Click|Auto Battler|Clicker|Collectathon|2D|Fantasy|PvE|Singleplayer|Idler,"Aug 7, 2021",False,Smalles is a game where you will send your champion into the Dungeon to collect gold and also raise in strenght.You will acquire precious Talent Points that can be used to upgrade your character.
3603380,Death Kitchen,Action|Casual|Simulation|Strategy,Online Co-Op|Horror|Cooking|Strategy|Comedy|First-Person|Space|Futuristic|Time Management|Simulation|RTS|3D|Action|Co-op|Choices Matter|Multiplayer|Casual|Singleplayer|Character Customization|Funny,2026,False,Death Kitchen is an immersive fast-paced co-op cooking horror game. You must coordinate with your friends to serve alien customers who can kill you in many situations. You can morph into a variety of characters! Embrace the chaos and deliver quality with your new intergalactic restaurant chain.
4018510,Hexiom,Casual|Indie,Casual|Puzzle|Hex Grid|Singleplayer|Logic|2D|Indie|Futuristic,"Oct 1, 2025",False,Hexiom is a classic puzzle game with simple rules but many possibilities. Rearrange the board so that the number on each tile matches how many other tiles it is adjacent to.
1579720,Sol Dorado Heist,Casual|Indie|Simulation,Simulation|Heist|Casual|Visual Novel|Anime|Female Protagonist|Singleplayer|2D|Funny|Indie|Mystery|Dating Sim,"Apr 23, 2021",False,Choose your path and solve the mystery of the Sol Dorado Heist!
3333840,The Dream,Action|Indie|Free To Play,Boomer Shooter|FPS|Third-Person Shooter|PvE|PvP|Shooter|Arcade|Female Protagonist|3D|First-Person|Third Person|Post-apocalyptic|Open World|Action|Sci-fi|Artificial Intelligence|Survival|Aliens|Conspiracy|Multiplayer,"Mar 17, 2025",True,"A dystopian, open-world shooter set in a simulated Barcelona of 2033. Survive, explore, and uncover the secrets of the metropolis while earning data tokens. Engage in intense battles or form alliances to survive."
2231560,Araka~JK Exorcist Horror RPG,Adventure|Indie|RPG,Adventure|RPG|Horror|JRPG|Female Protagonist|Visual Novel|Exploration|Pixel Graphics|Nudity|Comic Book|Drama|Fantasy|Psychological Horror|Indie|Detective|Story Rich|Multiple Endings|Singleplayer|RPGMaker|Sexual Content,"May 26, 2023",False,"Manipulate the main character with power of telepathic, looking for the trace of Araka, an Exorcist imprisoned in the other world."
420660,Burnin' Rubber 5 HD,Action|Indie|Racing,Racing|Action|Indie|Singleplayer|Shooter|Combat Racing|Vehicular Combat,"Feb 14, 2018",False,"Burnin' Rubber 5 HD is a remastered update of one of the most played action games on the web. Unlock over 30 challenges, 50 cars and multiple explosive weapons. Master 3 different challenge modes and hone your skills to take on the biggest end boss ever."
377530,侠客风云传(Tale of Wuxia),Adventure|Casual|RPG|Simulation|Strategy,RPG|Martial Arts|Strategy|Turn-Based|Multiple Endings|Adventure|Singleplayer|Dating Sim|Simulation|Story Rich|Casual|CRPG|Open World,"Apr 28, 2016",False,"Tale of Wuxia has been dedicated to providing gameplayers with a player-defined platform, where they can customize their own Wuxia. Instead of being restricted to characters’ basic properties, in this new version, gameplayers can also choose the personalities and talents of their own."
1551720,Disaster Drive,Action|Indie|Racing,Racing|Action|Driving|Arcade|3D|Procedural Generation|Score Attack|Indie|Retro|Singleplayer,Coming soon,False,"Disaster Drive is a retro-inspired arcade racing game where you only have 10 seconds to reach the next checkpoint, or it's GAME OVER. Skillfully drift around twisty corners using nitro boost while avoiding disaster to multiply your score to the top!"
1837590,Hammerground: Splat!,Action|Casual|Indie,VR|Arcade|Beat 'em up|Casual|Tabletop|Action|Score Attack|Time Attack|Funny|Indie|PvE|Combat|Hack and Slash|3D|6DOF|Singleplayer|Cartoon|Bullet Hell|First-Person|Quick-Time Events,"Oct 6, 2022",False,Whack-a-mole without a mole: a virtual reality arcade.
